C0151714	hypermagnesemia
C1096646	Transaminases increased
C0005686	Bladder disorder
C1167898	anti-gad antibody
C0025149	medulloblastoma
C0853581	csf lymphocyte count abnormal
C0742965	eosinophilic cystitis
C0021361	Infertility female
C0452380	cows milk free diet
C0854085	necrotising fasciitis staphylococcal
C0241712	vulval erythema
C0162739	hellp syndrome
C0410529	hypochondroplasia
C0040962	tricuspid valve prolapse
C0549412	immature respiratory system
C0270960	congenital myopathy
C0014117	endocardial fibroelastosis
C0854752	gastric cancer stage iv
C0265890	congenital aortic stenosis
C1535944	loss of visual contrast sensitivity
C0586323	alcoholic seizure
C0278480	colon cancer stage i
C0554139	pyeloplasty
C0016052	fibromuscular dysplasia
C0241619	Vaginal cyst
C0522182	fear of disease
C1095978	pregnancy with injectable contraceptive
C0853526	ultrasound doppler
C0920280	fallopian tube cancer metastatic
C0035519	face lift
C1141875	ultrasound biliary tract
C1141977	dermatologic examination abnormal
C1262028	ultrasound thyroid abnormal
C0269189	Ectropion of cervix
C0549146	evacuation of retained products of conception
C0853620	blood prolactin abnormal
C0547058	pseudopolyp
C0008489	Chorea
C0473138	renal tumour excision
C0404557	bleeding anovulatory
C1095965	parovarian cyst
C1095969	neoplasm prophylaxis
C0235511	Thrombophlebitis superficial
C0085595	Skin odour abnormal
C1288276	vaginoplasty
C0185264	tendon sheath lesion excision
C0948448	cancer gene carrier
C2939186	Mood swings
C0017382	genetic counselling
C0577559	Mass
C1264195	refractory anaemia with ringed sideroblasts
C0154260	mineral metabolism disorder
C0267096	oesophageal injury
C0003128	Anovulatory cycle
C0007959	peroneal muscular atrophy
C0836911	exposure to communicable disease
C0472692	postmastectomy lymphoedema syndrome
C0035613	rift valley fever
C0855243	inadequate lubrication
C0948123	metastases to abdominal wall
C0011644	Scleroderma
C0852768	fibroadenoma
C0521170	Osteoporotic fracture
C0855337	electrocardiogram t wave peaked
C1112431	massage
C2609111	germ cell cancer
C0007869	cervical erosion
C0235955	Purpura
C0151512	injection site atrophy
C1142215	application site abscess
C2363749	hyperdynamic left ventricle
C0153999	benign uterine neoplasm
C0020175	Hunger
C0542203	Fluid retention
C0264916	bundle branch block bilateral
C0028064	niemann-pick disease
C0853150	Nerve conduction studies abnormal
C0235721	Sensation of heaviness
C0231686	Gait disturbance
C1504356	chitotriosidase decreased
C1504355	chitotriosidase increased
C0235296	Abdominal pain upper
C0235698	Abdominal distension
C0193959	adenotonsillectomy
C0338656	Cognitive disorder
C0235018	Hypoaesthesia
C0858041	Blood triglycerides increased
C0730362	Maculopathy
C0029119	Fungal infection
C1112511	dehydroepiandrosterone decreased
C0279579	adrenocortical carcinoma
C1955743	Mineralocorticoid deficiency
C0858226	Blood cholesterol increased
C0281856	Pain
C0877104	retinal toxicity
C0238530	17-hydroxyprogesterone increased
C0025292	meningitis haemophilus
C0151976	jejunal ulcer
C0853719	csf culture positive
C0859974	neonatal intestinal obstruction
C0456107	meningitis neonatal
C0855359	csf white blood cell count positive
C0948697	cytomegalovirus test
C0085808	mycotic aneurysm
C0405583	tendon calcification
C0042974	von willebrand's disease
C1096301	diverticular hernia
C1096398	eczema weeping
C0855652	Culture negative
C0853416	biopsy bone marrow normal
C0190065	heart valve operation
C0596118	aortic occlusion
C0016512	Pain in extremity
C0235025	Peripheral motor neuropathy
C0919624	pregnancy of partner
C1739123	febrile nonhaemolytic transfusion reaction
C1868788	endometrial sarcoma
C0349641	5q minus syndrome
C0042749	Viraemia
C1142272	Neutrophilic dermatosis
C0033817	Pseudomonas infection
C1698481	upper aerodigestive tract infection
C2613439	extramedullary haemopoiesis
C0877232	Local swelling
C0019054	Haemolysis
C0861889	prolymphocytic leukaemia
C0002893	Refractory cytopenia with unilineage dysplasia
C1096207	blood human chorionic gonadotropin
C0080203	Tachyarrhythmia
C1697943	epidermal growth factor receptor decreased
C0851444	Allergic conditions
C0277799	Body temperature increased
C1611149	bilevel positive airway pressure
C0403719	urate nephropathy
C0700502	Hypothyroidism
C1456865	Calculus ureteric
C0031037	Periarthritis
C0585012	gastric stenosis
C1112197	urine human chorionic gonadotropin positive
C1112194	urine human chorionic gonadotropin abnormal
C0851612	ocular neoplasm
C1262034	cardiac valve sclerosis
C1276146	Lymphoma cutis
C0340613	Aneurysm
C0521508	Injection site bruising
C0232498	Abdominal tenderness
C1142442	biloma
C1096671	arteriovenous fistula site infection
C0872084	sarcopenia
C0038160	Staphylococcal infection
C0175816	cold type haemolytic anaemia
C0007114	Skin cancer
C0427692	blood count normal
C0748055	psychiatric decompensation
C1278267	nitrite urine
C0853849	pneumonia moraxella
C0263661	osteoarthropathy
C0034124	pupillary disorder
C1262017	light chain analysis abnormal
C1112559	Pancreatitis
C0549284	Atrial fibrillation
C1868812	leukaemic infiltration extramedullary
C0021313	Kidney infection
C0018995	Haemochromatosis
C1608408	malignant transformation
C0521706	Cataract
C1283787	allergic transfusion reaction
C0740302	5q-syndrome
C1740832	Acute myeloid leukaemia
C1740787	cardiac autonomic neuropathy
C1328437	amino acid level increased
C0276651	aspergilloma
C0232196	cardiac pacemaker malfunction
C0919642	ureteral necrosis
C1387528	Haemolytic anaemia
C1610596	lysozyme increased
C0858581	Hypoaesthesia
C0153254	endocarditis candida
C0151974	intestinal ulcer perforation
C0877370	tear discolouration
C0235853	Pemphigoid
C0022672	Renal tubular necrosis
C0014358	Pseudomembranous colitis
C0855054	fibrosarcoma
C0853774	blood acid phosphatase abnormal
C0036868	chromosome abnormality
C0221025	haemangioma-thrombocytopenia syndrome
C0235357	tooth hypoplasia
C2609094	primitive neuroectodermal tumour
C0521586	gastrointestinal mucosal necrosis
C0854864	precursor t-lymphoblastic lymphoma/leukaemia
C0858867	reticulocytopenia
C0235968	complement factor abnormal
C0265072	inferior vena caval occlusion
C0333258	lymphorrhoea
C1328329	polyomavirus interstitial nephritis
C0156263	ureteric fistula
C0401186	removal of renal transplant
C0948475	ovarian dysgerminoma stage unspecified
C0920186	hepatic artery stenosis
C0949004	amino acid metabolism disorder
C1112728	renal vein occlusion
C0269895	pelvic haematoma
C1541850	arteriovenous fistula, acquired
C1739376	orbital apex syndrome
C0194224	ureterectomy
C0948141	hepatic cyst infection
C0475022	renal haematoma
C1112352	neuromuscular blocking therapy
C1611719	retinal infiltrates
C0854791	bile duct cancer recurrent
C1096062	perinephric effusion
C0877341	coronary revascularisation
C0024796	marfan's syndrome
C1167792	bacterial pyelonephritis
C0853873	blood folate abnormal
C1112424	post procedural urine leak
C0346202	adenosquamous carcinoma of the cervix
C1096054	urine protein/creatinine ratio abnormal
C0948098	pancreas transplant
C1168175	incision site haematoma
C0863087	decreased immune responsiveness
C0855289	ph body fluid
C0034573	abdominal x-ray
C1167806	alpha globulin increased
C0853605	high density lipoprotein abnormal
C1112368	hernial eventration
C0948648	transplant abscess
C1167866	renal lymphocele
C0027732	nephroureterectomy
C1328330	biliary anastomosis
C0948389	intestinal hypomotility
C1261983	urinary anastomotic leak
C0007129	neuroendocrine carcinoma of the skin
C0877226	erythroid series abnormal
C0152423	microtia
C1397452	pulmonary fistula
C0429027	electrocardiogram qrs complex
C1504348	congenital vaginal cyst
C1868815	hypoglossal nerve paresis
C0392158	coronary artery aneurysm
C0854092	septic arthritis staphylococcal
C1328326	antigliadin antibody positive
C1096141	anti-insulin antibody positive
C0855540	paracentesis abdomen
C0853625	blood thyroid stimulating hormone abnormal
C0232984	andropause
C0272263	cryofibrinogenaemia
C0855971	spleen scan abnormal
C0920049	retroperitoneal infection
C0558344	cautery to nose
C0344357	nocturnal dyspnoea
C0853736	blood bicarbonate abnormal
C0855334	electrocardiogram qt corrected interval shortened
C0855281	crossmatch incompatible
C1388522	mesenteric arteriosclerosis
C0424462	neglect of personal appearance
C0474463	labour onset delayed
C0877215	congenital facial nerve hypoplasia
C0158617	congenital aortic valve incompetence
C0238591	adactyly
C0347530	base excess negative
C0744424	glomerulonephropathy
C0854175	malignant anorectal neoplasm
C0854271	pregnancy with advanced maternal age
C0235926	granulocytopenia neonatal
C0522217	brain stem auditory evoked response
C0233256	foetal malpresentation
C0004099	asthma exercise induced
C0158947	omphalitis
C0158945	congenital cytomegalovirus infection
C1536033	urine oxalate increased
C0877395	autophony
C0877643	neonatal anuria
C0152451	glomerulonephritis chronic
C0346210	vulvar dysplasia
C0010676	meconium ileus
C0858527	electrocardiogram pq interval prolonged
C0236812	feeding disorder of infancy or early childhood
C0268639	carnitine palmitoyltransferase deficiency
C1112278	body height below normal
C0032027	pityriasis rubra pilaris
C0919784	synovial fluid white blood cells positive
C0853852	cystitis escherichia
C0548923	burn infection
C1535903	reaction to medical agent preservatives
C0861985	lymphocytic lymphoma
C0684343	pseudophakia
C1168033	gastric ph increased
C0853197	gastroenteritis helicobacter
C0235770	Malignant ovarian cyst
C0011876	cataract diabetic
C0397450	cardiac pacemaker replacement
C2242664	lipomatous hypertrophy of the interatrial septum
C0546524	chondrectomy
C0020599	hypocalciuria
C0521160	Dermatitis psoriasiform
C0856897	Haemangioma
C0013720	ehlers-danlos syndrome
C0043379	xyy syndrome
C0153957	benign cardiac neoplasm
C0524343	death of child
C0524342	death of parent
C0541813	kussmaul respiration
C0235318	Abdominal distension
C0262500	routine health maintenance
C0496899	Brain neoplasm benign
C0424810	Eye swelling
C0948080	complement factor c1 decreased
C0236106	Photosensitivity reaction
C0161744	barotitis media
C1142028	peripheral nerve palsy
C0743728	eyeball rupture
C0853036	lentigo maligna stage unspecified
C0427055	Facial paresis
C2004489	Regurgitation
C0004760	barotrauma
C0025274	menarche
C3267047	Immune-mediated necrotising myopathy
C0019125	haematotympanum
C0241351	testicular cyst
C0700363	rhythm idioventricular
C0854288	lacrimal gland enlargement
C0190667	patent ductus arteriosus repair
C0235752	naevus flammeus
C0339937	bronchitis acute viral
C0852815	photocoagulation
C0877113	scar pain
C0854527	colon injury
C0740280	acquired pyloric stenosis
C1112282	body height
C0155683	subacute endocarditis
C0152164	cyclic vomiting syndrome
C0015503	factor vii deficiency
C0877567	mycobacterium fortuitum infection
C1328295	chlamydia serology
C1168070	urine mercury abnormal
C1142128	vitamin k increased
C0019343	herpes gestationis
C0263445	acne fulminans
C1168068	blood mercury
C1096165	red cell distribution width decreased
C0263859	sapho syndrome
C1535952	carbon dioxide abnormal
C0158940	transient tachypnoea of the newborn
C0267482	enterocolonic fistula
C0403828	non-consummation
C0396549	bronchoplasty
C0221023	cyclic neutropenia
C0270164	atelectasis neonatal
C0456511	sleep paralysis
C0152419	interruption of aortic arch
C0039445	hereditary haemorrhagic telangiectasia
C1739098	in-stent arterial restenosis
C0014762	nucleated red cells
C0396949	aortic valve repair
C1112208	septic phlebitis
C0948167	factor ix inhibition
C0240822	pseudoparalysis
C0239549	fat intolerance
C0853063	vascular resistance systemic
C1112211	hepatic infection
C0239154	high-pitched crying
C0439033	overwork
C1288284	ankle reconstruction
C1696485	mini mental status examination
C0269825	shoulder dystocia
C0005716	blastomycosis
C0162401	differential white blood cell count
C0398102	venous operation
C0152416	laryngeal web
C1323189	dermatitis infected
C0206186	oral hairy leukoplakia
C0155712	chordae tendinae rupture
C0853184	malabsorption from injection site
C0948076	anal fistula infection
C0948108	atrioventricular extrasystoles
C1610067	parasite dna test positive
C0266597	external auditory canal atresia
C0854915	retinoblastoma unilateral
C0022972	eaton-lambert syndrome
C0948243	congenital teratoma
C1142357	Hyperlactacidaemia
C1167664	situs ambiguous
C0266470	cerebellar hypoplasia
C0521607	peritoneal fibrosis
C0278719	retinoblastoma
C0854043	blood pyruvic acid decreased
C0851567	congenital neurological disorder
C0877566	oropharyngitis fungal
C0580515	blood ph abnormal
C0001916	albinism
C0267805	zieve syndrome
C0877523	acquired macrocephaly
C1095991	brain natriuretic peptide abnormal
C1112348	urine electrolytes increased
C1096726	hepatitis b virus
C1504388	predisposition to disease
C0020428	hyperaldosteronism
C0271623	gonadotrophin deficiency
C0302813	lactase deficiency
C0919659	oropharyngeal candidiasis
C0205898	pinealoblastoma
C0153942	benign oesophageal neoplasm
C0239571	foetor hepaticus
C0549359	late developer
C0004044	Asphyxia
C0854804	chronic lymphocytic leukaemia stage 4
C0854069	tumour pain
C0948373	femoral artery dissection
C0854141	renal aneurysm
C1739363	Benign prostatic hyperplasia
C0235238	cycloplegia
C0553721	Hypohidrosis
C0748412	viral rhinitis
C1328537	plantar erythema
C0857257	Abdominal distension
C1522058	Necrosis
C0192775	ileostomy closure
C0558799	femoral bruit
C0522348	sensation of block in ear
C0853822	occupational physical problem
C0851371	diagnostic procedure
C0268969	testicular haemorrhage
C1142460	dialysis device insertion
C0040797	traumatic haemorrhage
C0190119	tricuspid valve replacement
C0565653	immunisation reaction
C0855432	fibrin degradation products
C0861291	b-cell lymphoma stage i
C0919847	urine nitrogen
C0555903	protein total
C0233565	Bradykinesia
C0854035	blood lactic acid decreased
C0041105	Trismus
C0854174	gum neoplasm malignant stage unspecified
C0031133	Abnormal behaviour
C0343192	microscopic polyangiitis
C0085699	cardiac cirrhosis
C1696115	device electrical finding
C1142027	anti-platelet antibody positive
C1274100	sterilisation
C0920151	complement factor c4 decreased
C0189771	balloon atrial septostomy
C0948372	exercise capacity decreased
C1306857	hyperglobulinaemia
C0340756	pulmonary vein stenosis
C0024143	lupus nephritis
C0162363	thromboendarterectomy
C0153454	malignant neoplasm of ampulla of vater
C0948814	catheter site oedema
C0192616	enterectomy
C0855748	ammonia abnormal
C0158638	congenital cerebrovascular anomaly
C0854349	oddi's sphincter constriction
C0740292	5'nucleotidase increased
C1142126	meningococcal bacteraemia
C0262507	hepatitis b core antigen positive
C0520834	functional residual capacity decreased
C1740802	post procedural sepsis
C0343205	lupus vasculitis
C0159059	peristalsis visible
C0242427	pericardiotomy
C0042166	intermediate uveitis
C1535935	iatrogenic infection
C0920150	complement factor c3 decreased
C0151862	post vaccination syndrome
C2363966	pulmonary hypertensive crisis
C0520744	paratracheal lymphadenopathy
C1504395	lung neoplasm surgery
C0206620	cystic lymphangioma
C0234943	application site anaesthesia
C0861249	t-cell lymphoma stage iv
C1146542	torus fracture
C0948299	application site discharge
C0852667	vulval cancer
C0079840	milk allergy
C0395769	eustachian tube operation
C0021293	postmature baby
C0003910	phonological disorder
C0265761	laryngocele
C0234936	application site oedema
C0877127	application site papules
C1735325	application site odour
C0036203	cutaneous sarcoidosis
C1698032	application site desquamation
C0352068	cerumen removal
C0877096	application site paraesthesia
C0232070	foreign body aspiration
C0521494	application site pigmentation changes
C0028326	noonan syndrome
C0853072	csf protein decreased
C0431371	septum pellucidum agenesis
C0948384	cerebral hygroma
C0266480	congenital cerebral cyst
C0853080	cortisol free urine decreased
C0041328	renal tuberculosis
C1963847	coeliac artery stenosis
C0474408	attention-seeking behaviour
C0424082	hypnopompic hallucination
C0232112	arterial bruit
C0948398	gastric hypermotility
C0948395	gastrointestinal hypermotility
C1112323	drug use for unknown indication
C1697746	rectal obstruction
C0679642	large intestine operation
C0853377	catecholamines urine
C0852681	large intestine anastomosis
C0030231	palliative care
C0149826	gastric adenoma
C0855331	electrocardiogram qt corrected interval
C1096418	peripheral revascularisation
C0948150	splenic candidiasis
C0404183	laparoscopic sterilisation
C0085622	Monoplegia
C0861248	t-cell lymphoma stage iii
C0861286	b-cell lymphoma stage ii
C1504339	venous stent insertion
C0031308	phagocytosis
C1535865	implant site necrosis
C0948416	anticonvulsant toxicity
C0151778	megakaryocytes increased
C1112469	cytomegalovirus syndrome
C0043250	Wound
C0151885	Adverse reaction
C0085395	ureaplasma infection
C0241357	Blood testosterone decreased
C0235969	Ejaculation disorder
C0853008	Parkinson's disease
C1963718	Oculorespiratory syndrome
C0231471	Posture abnormal
C1611162	Plateletcrit decreased
C0278061	Mental disorder
C3665888	Reproductive toxicity
C0344502	blepharophimosis congenital
C0043037	Skin papilloma
C0235988	Blood iron decreased
C0525045	Affective disorder
C0031485	Phenylketonuria
C0003813	Sinus arrhythmia
C0030297	Pancreatic neoplasm
C0235551	Laryngotracheal oedema
C1328377	Oculorespiratory syndrome
C0853999	directional doppler flow tests abnormal
C0235763	Psoriasis
C0270729	Parkinsonism
C0032000	Pituitary tumour benign
C1142017	Glabellar reflex abnormal
C0392168	Emprosthotonus
C1112182	parkinsonian rest tremor
C0085577	Normochromic normocytic anaemia
C0520821	Pleurothotonus
C0241633	Vulvovaginal dryness
C0004158	Athetosis
C1504435	electrocardiogram qt interval abnormal
C0240717	Perineal pain
C0278151	Facial spasm
C0004377	Automatism
C0175754	Congenital central nervous system anomaly
C0235792	Breast pain
C0542008	Injection site haematoma
C0235592	Lymphadenopathy
C0234953	tongue spasm
C0151464	Injection site abscess
C0151584	Injection site cyst
C1696700	Angioedema
C1735601	Floppy iris syndrome
C0857980	Blood prolactin increased
C1141890	Long QT syndrome congenital
C0016522	Atrial septal defect
C0162848	Lichenoid keratosis
C0221147	Platelet production decreased
C0151684	Granuloma skin
C0153251	Respiratory moniliasis
C0151898	Schizophreniform disorder
C1868695	injection site streaking
C0240735	Personality change
C0001198	Acrodynia
C0231666	Radial nerve palsy
C0854155	immunology test abnormal
C0196112	cranioplasty
C0030469	Sinus disorder
C0029527	brucellosis
C0265935	congenital arterial malformation
C0008680	eosinophilic pneumonia chronic
C0877229	dehydroepiandrosterone increased
C0877299	blood homocysteine decreased
C1735590	autoimmune inner ear disease
C2609041	mechanical urticaria
C0392703	Tremor
C0155018	colour blindness acquired
C0342311	neuroglycopenia
C0161468	femoral nerve injury
C0869424	mineral deficiency
C0158935	congenital pneumonia
C1697946	otitis media viral
C0948381	semen discolouration
C0919794	itching scar
C0854976	large cell carcinoma of the respiratory tract stage unspecified
C0948160	pancreas infection
C0027859	acoustic neuroma
C0852919	animal scratch
C0859470	tuberculosis bladder
C1305955	megakaryocytes
C0861148	Arrhythmia
C0854524	peridiverticular abscess
C1696849	dermo-hypodermitis
C0344432	Ventricular tachycardia
C0750197	Ventricular tachycardia
C0750194	Ventricular tachycardia
C0520962	Pain
C0852051	spinal vascular disorder
C0158634	anomalous pulmonary venous connection
C1504452	implant site pain
C0423636	Angina pectoris
C1262103	blast cell count decreased
C1167946	pacemaker generated rhythm
C0853033	blood aldosterone increased
C0151560	central nervous system stimulation
C1868998	cytotoxic oedema
C0161735	frostbite
C0456440	pain threshold decreased
C0026706	mucopolysaccharidosis ii
C0272416	splenic vein thrombosis
C1535940	incision site cellulitis
C0854032	blood creatine abnormal
C0813230	Blood triglycerides increased
C1167817	urine arsenic increased
C0854111	blood triglycerides decreased
C1096417	skin squamous cell carcinoma surgery
C0151721	eunuchoidism
C1504440	instillation site erythema
C0919856	promyelocyte count decreased
C0549313	bronchial irritation
C0855627	blood bilirubin unconjugated
C0920189	swollen tear duct
C1112249	colitis viral
C0877267	peritonsillitis
C0339753	external ear cellulitis
C0237962	retroperitoneal abscess
C0270932	polyneuropathy in malignant disease
C1735324	fine motor delay
C1737218	post procedural haematuria
C0857332	Clonus
C1142250	infective thrombosis
C0860938	basophilia
C1095951	ophthalmic fluid drainage
C0264308	laryngeal ulceration
C1321898	Haematochezia
C0858797	instillation site pain
C0855761	zinc sulphate turbidity increased
C0853886	carnitine decreased
C0153644	malignant cranial nerve neoplasm
C0560024	Eyelid oedema
C0085541	frontal lobe epilepsy
C1096668	instillation site irritation
C0859994	conjunctival erosion
C0036986	traumatic shock
C0742343	acute chest syndrome
C0010346	Crohn's disease
C0236015	coagulation factor increased
C0434014	diaphragmatic injury
C0858217	Abdominal distension
C0948383	leukaemic infiltration pulmonary
C0240564	Rhinalgia
C0860933	urobilin urine
C0035012	reiter's syndrome
C0849913	Erythema
C0086981	Sjogren's syndrome
C0154639	meningitis streptococcal
C0347950	Asthma
C0235819	Dermatitis bullous
C0857493	Gastrointestinal disorder
C0877128	application site pustules
C0040348	tocolysis
C0555106	myelocyte present
C0948292	intraocular lens dislocation
C0155369	vitreous prolapse
C0520869	cardiac index increased
C0018813	myocardial rupture
C1112584	anti-erythrocyte antibody positive
C0852728	po2 abnormal
C1504418	similar reaction on previous exposure to drug
C1399523	herpes pharyngitis
C0233757	vomiting psychogenic
C1142150	nephritis autoimmune
C0919574	immobilisation prolonged
C0333139	Pneumatosis
C0155762	necrosis of artery
C0854297	head deformity
C1868848	stent related infection
C0558348	gastroenteritis bacterial
C0334121	inflammatory myofibroblastic tumour
C0520870	cardiac index decreased
C0343824	leptospirosis
C0854899	malignant melanoma of sites other than skin
C0004161	sports injury
C1736132	tuberculosis skin test positive
C0151624	Colitis ulcerative
C1096701	medical device discomfort
C2242495	abdominal wall haemorrhage
C2242588	traumatic liver injury
C0853549	renal scan abnormal
C0854275	umbilical cord vascular disorder
C0475021	colonic haematoma
C0855416	coagulation factor x level increased
C0271820	thyroid haemorrhage
C0521662	hemiplegia transient
C0877172	spinal epidural haemorrhage
C0853648	blood fibrinogen abnormal
C0347634	splenic haematoma
C1096286	transaminases decreased
C0033949	male orgasmic disorder
C0238096	paradoxical embolism
C0241228	spleen palpable
C0860914	alpha-1 anti-trypsin increased
C1540763	penile blister
C0948430	liver induration
C0740330	genital infection fungal
C0005660	human bite
C0152113	sydenham's chorea
C0233973	painful erection
C0877142	normetanephrine urine increased
C1167836	insulin-like growth factor decreased
C0855614	carnitine increased
C0853840	norepinephrine increased
C1141903	iron binding capacity unsaturated decreased
C0458104	genital pain male
C0347653	testicular injury
C0948856	orgasmic sensation decreased
C0522205	sexual inhibition
C0587310	blister infected
C1168031	blood galactose increased
C0855503	semen viscosity
C0040582	tracheal neoplasm
C1698448	pancreatitis viral
C0086227	enterobiasis
C0017412	genital disorder male
C1112253	blood amino acid level increased
C1328440	amino acid level abnormal
C0542089	metanephrine urine increased
C0431109	anaplastic choroid plexus papilloma
C1095972	blood pressure orthostatic
C0855837	mononucleosis heterophile test positive
C0877352	renin increased
C0016142	pyromania
C0852765	blood catecholamines increased
C0276619	gastroenteritis norwalk virus
C1504423	semenuria
C0919844	urine protein, quantitative
C0869523	carditis
C0520578	testicular retraction
C1510450	dysacusis
C0236043	ceruloplasmin increased
C0206675	benign mesothelioma
C0856099	Haemorrhoids
C0854211	keratitis bacterial
C0013415	Dysthymic disorder
C0393799	miller fisher syndrome
C0740471	Blood creatinine abnormal
C1096387	chemical eye injury
C0151281	genital ulceration
C0863090	Dermatitis atopic
C1536705	ovarian haematoma
C0151810	Drug ineffective
C1112491	benign biliary neoplasm
C1608953	intestinal diaphragm disease
C1735367	atherosclerosis obliterans
C0854124	urea urine increased
C0349446	trance
C0749923	Urinary abnormalities
C1096348	lymphangioma
C0423226	corneal pigmentation
C1535849	Application site induration
C1167814	dihydrotestosterone decreased
C0855739	platelet aggregation decreased
C1096053	bladder catheter management
C1096456	neonatal pneumonia
C0948378	supraclavicular retraction
C1168423	antineutrophil cytoplasmic antibody
C0340907	arteriovenous fistula occlusion
C1765330	immunoglobulins abnormal
C0581142	plasma cell count
C0014099	carotid endarterectomy
C1112325	synovial fluid red blood cells positive
C0438217	red blood cell sedimentation rate
C0919863	glycopeptide antibiotic resistant enterococcal infection
C0159102	nerve stimulation test abnormal
C1112522	bronchial oedema
C2242660	pharyngeal haematoma
C1697642	puncture site pain
C0683416	Depersonalisation
C0235339	Stomatitis
C0426584	Increased appetite
C0393590	fahr's disease
C1096130	blood erythropoietin decreased
C0426517	pigmentation buccal
C0877115	anti factor viii antibody positive
C0271517	acoustic neuritis
C2242698	anti-insulin receptor antibody positive
C1167840	factor xiii inhibition
C0854278	hereditary cerebral degeneration
C0853892	catabolic state
C1695985	lewis-sumner syndrome
C0398677	ocular sarcoidosis
C0853654	mean cell volume
C1168092	phenylalanine screen positive
C0524341	death of companion
C1141885	sclerosing encapsulating peritonitis
C0877596	viral load decreased
C1142225	dacryocanaliculitis infective
C0018889	helminthic infection
C1142036	virus serology test positive
C0877212	anti-islet cell antibody positive
C0155002	sudden visual loss
C1262251	syphilis test positive
C0860879	alpha 1 foetoprotein amniotic fluid abnormal
C0042170	vogt-koyanagi-harada syndrome
C0854793	hepatic neoplasm malignant non-resectable
C1167896	anti-gad antibody positive
C0221353	horseshoe kidney
C0036019	saccadic eye movement
C0852933	aldosterone urine decreased
C0948218	pharyngeal polyp
C0007192	cardiomyopathy alcoholic
C0266172	congenital small intestinal atresia
C2363742	cryptococcus antigen positive
C1142004	myocardiac abscess
C1384514	primary hyperaldosteronism
C0700376	pulmonary amyloidosis
C0235409	increased insulin requirement
C1112168	catheter site necrosis
C0521878	burglary victim
C0748483	salmonella bacteraemia
C1609538	latent tuberculosis
C1737225	mesangioproliferative glomerulonephritis
C0744822	liver sarcoidosis
C0272126	evans syndrome
C0271560	hypophysitis
C0600452	hepatopulmonary syndrome
C0853808	urethral cyst
C0156088	gastroptosis
C2609051	anti-erythropoietin antibody
C2363789	hepatitis c virus test
C0204601	drug rehabilitation
C0549368	genital neoplasm malignant female
C0562381	victim of abuse
C0040116	neoplasm of thymus
C1328304	carnitine deficiency
C0265090	precerebral artery occlusion
C0221209	pelvic kidney
C0029128	optic disc drusen
C0155794	varicose veins sublingual
C0877275	spinal cord infection
C0856390	vaginal hysterectomy
C0263505	alopecia universalis
C0272433	breast injury
C0025470	mesenteric panniculitis
C1739379	burns fourth degree
C0153077	hepatitis d
C0275566	actinomycotic pulmonary infection
C0038828	superior mesenteric artery syndrome
C0161661	cholera
C0206647	dermatofibrosarcoma
C0020608	hypodontia
C0854059	ph urine decreased
C0238501	urethral papilloma
C0266319	congenital ureteric anomaly
C0877034	cerebral perfusion pressure decreased
C0272410	splenitis
C0392439	acrodermatitis
C0848309	rhinitis perennial
C0855229	fear of weight gain
C0240953	winged scapula
C0266324	congenital megaureter
C0920213	vitamin a increased
C0521546	congenital joint malformation
C0857550	dacryostenosis congenital
C1142182	pelvic sepsis
C0332890	hemihypertrophy
C0549240	nodding of head
C0153194	seminal vesiculitis
C0852702	traumatic delivery
C0162852	pityriasis lichenoides et varioliformis acuta
C0544015	fuchs' syndrome
C0855442	lipase decreased
C0919923	nasal mucosa atrophy
C0235683	congenital brain damage
C0085657	pityriasis alba
C0155216	eyelid bleeding
C0524348	sick relative
C1112344	infected varicose vein
C1141955	allergy to arthropod bite
C0877689	ankyloglossia acquired
C0019045	haemoglobinopathy
C0853468	biopsy rectum abnormal
C0263442	acne conglobata
C0156809	rubella in pregnancy
C0406914	fascia release
C0344763	mitral valve hypoplasia
C0855275	bacteria wound identified
C0233528	asocial behaviour
C0334082	epidermal naevus
C0155489	cholesteatoma
C0848746	congenital endocrine anomaly
C1736142	vulvovaginal human papilloma virus infection
C0403414	post streptococcal glomerulonephritis
C2363889	intestinal anastomosis
C1535578	uvulopalatopharyngoplasty
C0273545	superficial injury of eye
C0041428	conjoined twins
C0276742	kerion
C1868804	elbow operation
C0424121	self esteem inflated
C0948742	urinary bladder abscess
C1112171	ear canal injury
C0476160	epiphyseal injury
C0267484	ileorectal fistula
C0752244	rathke's cleft cyst
C1142224	ventricular internal diameter abnormal
C0035127	repetitive strain injury
C0345392	congenital kyphoscoliosis
C1698394	acute promyelocytic leukaemia differentiation syndrome
C1112789	rectal spasm
C0161443	nerve root injury
C0702139	anotia
C0036363	schizotypal personality disorder
C1262206	iliotibial band syndrome
C0152095	trisomy 13
C0152093	hypermobility syndrome
C0156390	vaginal polyp
C0685874	congenital anomaly of inner ear
C0948502	lochia malodourous
C0009769	giant papillary conjunctivitis
C0432185	congenital muscle absence
C0476147	cartilage neoplasm
C0860564	retinoic acid syndrome
C1697534	coronary artery dilatation
C0086580	male contraception
C0877051	congenital cerebellar agenesis
C0014718	intertrigo candida
C0013446	ear deformity acquired
C0274405	stitch abscess
C0151990	cylindruria
C0948242	foetal cystic hygroma
C0524322	relationship breakdown
C0007361	cat scratch disease
C0271308	blepharitis allergic
C0702157	thalassaemia trait
C0860177	anorectal infection
C0392180	placental necrosis
